Jurisdiction,Week of Allocations,1st Dose Allocations
Connecticut,4/12/2021,6400
Maine,4/12/2021,2500
Massachusetts,4/12/2021,12300
New Hampshire,4/12/2021,2500
Rhode Island,4/12/2021,2000
Vermont,4/12/2021,1200
New Jersey,4/12/2021,15600
New York,4/12/2021,19800
New York City,4/12/2021,15100
Puerto Rico,4/12/2021,6100
U.S. Virgin Islands,4/12/2021,200
Delaware,4/12/2021,1700
District of Columbia,4/12/2021,1300
Maryland,4/12/2021,10500
Pennsylvania,4/12/2021,20000
Philadelphia,4/12/2021,2800
Virginia,4/12/2021,14800
West Virginia,4/12/2021,3300
Alabama,4/12/2021,8500
Florida,4/12/2021,37000
Georgia,4/12/2021,17600
Kentucky,4/12/2021,7800
Mississippi,4/12/2021,5100
North Carolina,4/12/2021,17700
South Carolina,4/12/2021,8700
Tennessee,4/12/2021,11600
Chicago,4/12/2021,4800
Illinois,4/12/2021,17600
Indiana,4/12/2021,11400
Michigan,4/12/2021,17500
Minnesota,4/12/2021,9600
Ohio,4/12/2021,20300
Wisconsin,4/12/2021,10200
Arkansas,4/12/2021,5200
Louisiana,4/12/2021,8000
New Mexico,4/12/2021,3700
Oklahoma,4/12/2021,6700
Texas,4/12/2021,46300
Iowa,4/12/2021,5400
Kansas,4/12/2021,5000
Missouri,4/12/2021,10600
Nebraska,4/12/2021,3300
Colorado,4/12/2021,9700
Montana,4/12/2021,1900
North Dakota,4/12/2021,1400
South Dakota,4/12/2021,1500
Utah,4/12/2021,4900
Wyoming,4/12/2021,1000
Arizona,4/12/2021,12000
California,4/12/2021,67600
Hawaii,4/12/2021,2600
Nevada,4/12/2021,5100
American Samoa,4/12/2021,0
Guam,4/12/2021,0
Marshall Islands,4/12/2021,0
Micronesia,4/12/2021,0
Mariana Islands,4/12/2021,0
Palau,4/12/2021,0
Alaska,4/12/2021,1900
Idaho,4/12/2021,2900
Oregon,4/12/2021,7300
Washington,4/12/2021,12900
Federal Entities,4/12/2021,129600
Connecticut,4/5/2021,53900
Maine,4/5/2021,20600
Massachusetts,4/5/2021,103800
New Hampshire,4/5/2021,20600
Rhode Island,4/5/2021,16200
Vermont,4/5/2021,9700
New Jersey,4/5/2021,131600
New York,4/5/2021,167600
New York City,4/5/2021,127200
Puerto Rico,4/5/2021,51400
U.S. Virgin Islands,4/5/2021,1600
Delaware,4/5/2021,14300
District of Columbia,4/5/2021,10800
Maryland,4/5/2021,88800
Pennsylvania,4/5/2021,169200
Philadelphia,4/5/2021,23500
Virginia,4/5/2021,124700
West Virginia,4/5/2021,27800
Alabama,4/5/2021,71800
Florida,4/5/2021,313200
Georgia,4/5/2021,148500
Kentucky,4/5/2021,65300
Mississippi,4/5/2021,43200
North Carolina,4/5/2021,149800
South Carolina,4/5/2021,73500
Tennessee,4/5/2021,98100
Chicago,4/5/2021,39900
Illinois,4/5/2021,148600
Indiana,4/5/2021,96500
Michigan,4/5/2021,147800
Minnesota,4/5/2021,80800
Ohio,4/5/2021,171900
Wisconsin,4/5/2021,85900
Arkansas,4/5/2021,43500
Louisiana,4/5/2021,67700
New Mexico,4/5/2021,30800
Oklahoma,4/5/2021,56400
Texas,4/5/2021,392100
Iowa,4/5/2021,45800
Kansas,4/5/2021,41800
Missouri,4/5/2021,89600
Nebraska,4/5/2021,27600
Colorado,4/5/2021,81400
Montana,4/5/2021,15600
North Dakota,4/5/2021,11300
South Dakota,4/5/2021,12500
Utah,4/5/2021,40700
Wyoming,4/5/2021,8500
Arizona,4/5/2021,101700
California,4/5/2021,572700
Hawaii,4/5/2021,21300
Nevada,4/5/2021,42900
American Samoa,4/5/2021,3700
Guam,4/5/2021,16900
Marshall Islands,4/5/2021,9600
Micronesia,4/5/2021,15900
Mariana Islands,4/5/2021,1600
Palau,4/5/2021,3200
Alaska,4/5/2021,15800
Idaho,4/5/2021,23800
Oregon,4/5/2021,61400
Washington,4/5/2021,109000
Federal Entities,4/5/2021,84600
Connecticut,3/29/2021,21200
Maine,3/29/2021,8100
Massachusetts,3/29/2021,40800
New Hampshire,3/29/2021,8100
Rhode Island,3/29/2021,6400
Vermont,3/29/2021,3900
New Jersey,3/29/2021,51700
New York,3/29/2021,65800
New York City,3/29/2021,49900
Puerto Rico,3/29/2021,20300
U.S. Virgin Islands,3/29/2021,700
Delaware,3/29/2021,5600
District of Columbia,3/29/2021,4300
Maryland,3/29/2021,34900
Pennsylvania,3/29/2021,66400
Philadelphia,3/29/2021,9200
Virginia,3/29/2021,49000
West Virginia,3/29/2021,11000
Alabama,3/29/2021,28300
Florida,3/29/2021,122900
Georgia,3/29/2021,58400
Kentucky,3/29/2021,25700
Mississippi,3/29/2021,17100
North Carolina,3/29/2021,58800
South Carolina,3/29/2021,28900
Tennessee,3/29/2021,38600
Chicago,3/29/2021,15700
Illinois,3/29/2021,58400
Indiana,3/29/2021,38000
Michigan,3/29/2021,58100
Minnesota,3/29/2021,31800
Ohio,3/29/2021,67400
Wisconsin,3/29/2021,33800
Arkansas,3/29/2021,17200
Louisiana,3/29/2021,26600
New Mexico,3/29/2021,12100
Oklahoma,3/29/2021,22200
Texas,3/29/2021,153900
Iowa,3/29/2021,18100
Kansas,3/29/2021,16500
Missouri,3/29/2021,35200
Nebraska,3/29/2021,10900
Colorado,3/29/2021,32000
Montana,3/29/2021,6100
North Dakota,3/29/2021,4500
South Dakota,3/29/2021,5000
Utah,3/29/2021,16100
Wyoming,3/29/2021,3400
Arizona,3/29/2021,40000
California,3/29/2021,224600
Hawaii,3/29/2021,8400
Nevada,3/29/2021,16900
American Samoa,3/29/2021,300
Guam,3/29/2021,900
Marshall Islands,3/29/2021,400
Micronesia,3/29/2021,600
Mariana Islands,3/29/2021,400
Palau,3/29/2021,200
Alaska,3/29/2021,6300
Idaho,3/29/2021,9500
Oregon,3/29/2021,24200
Washington,3/29/2021,42800
Federal Entities,3/29/2021,16700
Connecticut,3/22/2021,4200
Maine,3/22/2021,1600
Massachusetts,3/22/2021,8000
New Hampshire,3/22/2021,1600
Rhode Island,3/22/2021,1300
Vermont,3/22/2021,800
New Jersey,3/22/2021,10200
New York,3/22/2021,12900
New York City,3/22/2021,9800
Puerto Rico,3/22/2021,4000
U.S. Virgin Islands,3/22/2021,200
Delaware,3/22/2021,1100
District of Columbia,3/22/2021,900
Maryland,3/22/2021,6900
Pennsylvania,3/22/2021,13000
Philadelphia,3/22/2021,1800
Virginia,3/22/2021,9600
West Virginia,3/22/2021,2200
Alabama,3/22/2021,5600
Florida,3/22/2021,24100
Georgia,3/22/2021,11500
Kentucky,3/22/2021,5100
Mississippi,3/22/2021,3400
North Carolina,3/22/2021,11500
South Carolina,3/22/2021,5700
Tennessee,3/22/2021,7600
Chicago,3/22/2021,3100
Illinois,3/22/2021,11500
Indiana,3/22/2021,7500
Michigan,3/22/2021,11400
Minnesota,3/22/2021,6300
Ohio,3/22/2021,13200
Wisconsin,3/22/2021,6700
Arkansas,3/22/2021,3400
Louisiana,3/22/2021,5200
New Mexico,3/22/2021,2400
Oklahoma,3/22/2021,4400
Texas,3/22/2021,30200
Iowa,3/22/2021,3600
Kansas,3/22/2021,3300
Missouri,3/22/2021,6900
Nebraska,3/22/2021,2200
Colorado,3/22/2021,6300
Montana,3/22/2021,1200
North Dakota,3/22/2021,900
South Dakota,3/22/2021,1000
Utah,3/22/2021,3200
Wyoming,3/22/2021,700
Arizona,3/22/2021,7900
California,3/22/2021,44000
Hawaii,3/22/2021,1700
Nevada,3/22/2021,3300
American Samoa,3/22/2021,100
Guam,3/22/2021,200
Marshall Islands,3/22/2021,100
Micronesia,3/22/2021,100
Mariana Islands,3/22/2021,100
Palau,3/22/2021,100
Alaska,3/22/2021,1300
Idaho,3/22/2021,1900
Oregon,3/22/2021,4800
Washington,3/22/2021,8400
Federal Entities,3/22/2021,16700
Connecticut,3/15/2021,4200
Maine,3/15/2021,1600
Massachusetts,3/15/2021,8000
New Hampshire,3/15/2021,1600
Rhode Island,3/15/2021,1300
Vermont,3/15/2021,800
New Jersey,3/15/2021,10200
New York,3/15/2021,12900
New York City,3/15/2021,9800
Puerto Rico,3/15/2021,4000
U.S. Virgin Islands,3/15/2021,200
Delaware,3/15/2021,1100
District of Columbia,3/15/2021,900
Maryland,3/15/2021,6900
Pennsylvania,3/15/2021,13000
Philadelphia,3/15/2021,1800
Virginia,3/15/2021,9600
West Virginia,3/15/2021,2200
Alabama,3/15/2021,5600
Florida,3/15/2021,24100
Georgia,3/15/2021,11500
Kentucky,3/15/2021,5100
Mississippi,3/15/2021,3400
North Carolina,3/15/2021,11500
South Carolina,3/15/2021,5700
Tennessee,3/15/2021,7600
Chicago,3/15/2021,3100
Illinois,3/15/2021,11500
Indiana,3/15/2021,7500
Michigan,3/15/2021,11400
Minnesota,3/15/2021,6300
Ohio,3/15/2021,13200
Wisconsin,3/15/2021,6700
Arkansas,3/15/2021,3400
Louisiana,3/15/2021,5200
New Mexico,3/15/2021,2400
Oklahoma,3/15/2021,4400
Texas,3/15/2021,30200
Iowa,3/15/2021,3600
Kansas,3/15/2021,3300
Missouri,3/15/2021,6900
Nebraska,3/15/2021,2200
Colorado,3/15/2021,6300
Montana,3/15/2021,1200
North Dakota,3/15/2021,900
South Dakota,3/15/2021,1000
Utah,3/15/2021,3200
Wyoming,3/15/2021,700
Arizona,3/15/2021,7900
California,3/15/2021,44000
Hawaii,3/15/2021,1700
Nevada,3/15/2021,3300
American Samoa,3/15/2021,100
Guam,3/15/2021,200
Marshall Islands,3/15/2021,100
Micronesia,3/15/2021,100
Mariana Islands,3/15/2021,100
Palau,3/15/2021,100
Alaska,3/15/2021,1300
Idaho,3/15/2021,1900
Oregon,3/15/2021,4800
Washington,3/15/2021,8400
Federal Entities,3/15/2021,120500
Connecticut,3/1/2021,30200
Maine,3/1/2021,11500
Massachusetts,3/1/2021,58100
New Hampshire,3/1/2021,11600
Rhode Island,3/1/2021,9100
Vermont,3/1/2021,5400
New Jersey,3/1/2021,73600
New York,3/1/2021,93700
New York City,3/1/2021,71100
Puerto Rico,3/1/2021,28800
U.S. Virgin Islands,3/1/2021,900
Delaware,3/1/2021,8000
District of Columbia,3/1/2021,6000
Maryland,3/1/2021,49600
Pennsylvania,3/1/2021,94600
Philadelphia,3/1/2021,13100
Virginia,3/1/2021,69700
West Virginia,3/1/2021,15500
Alabama,3/1/2021,40100
Florida,3/1/2021,175100
Georgia,3/1/2021,83000
Kentucky,3/1/2021,36500
Mississippi,3/1/2021,24200
North Carolina,3/1/2021,83700
South Carolina,3/1/2021,41100
Tennessee,3/1/2021,54800
Chicago,3/1/2021,22300
Illinois,3/1/2021,83100
Indiana,3/1/2021,53900
Michigan,3/1/2021,82700
Minnesota,3/1/2021,45200
Ohio,3/1/2021,96100
Wisconsin,3/1/2021,48000
Arkansas,3/1/2021,24400
Louisiana,3/1/2021,37900
New Mexico,3/1/2021,17200
Oklahoma,3/1/2021,31500
Texas,3/1/2021,219200
Iowa,3/1/2021,25600
Kansas,3/1/2021,23400
Missouri,3/1/2021,50100
Nebraska,3/1/2021,15500
Colorado,3/1/2021,45500
Montana,3/1/2021,8700
North Dakota,3/1/2021,6300
South Dakota,3/1/2021,7000
Utah,3/1/2021,22800
Wyoming,3/1/2021,4800
Arizona,3/1/2021,56800
California,3/1/2021,320100
Hawaii,3/1/2021,11900
Nevada,3/1/2021,24000
American Samoa,3/1/2021,400
Guam,3/1/2021,1300
Marshall Islands,3/1/2021,600
Micronesia,3/1/2021,800
Mariana Islands,3/1/2021,400
Palau,3/1/2021,200
Alaska,3/1/2021,8900
Idaho,3/1/2021,13300
Oregon,3/1/2021,34400
Washington,3/1/2021,60900
Federal Entities,3/1/2021,139200
