Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Michigan,2/15/2021,62400,62400
Micronesia,2/15/2021,0,0
Minnesota,2/15/2021,34125,34125
Mississippi,2/15/2021,18525,18525
Missouri,2/15/2021,38025,38025
Montana,2/15/2021,6825,6825
Nebraska,2/15/2021,11700,11700
Nevada,2/15/2021,18525,18525
New Hampshire,2/15/2021,8775,8775
New Jersey,2/15/2021,55575,55575
New Mexico,2/15/2021,13650,13650
New York,2/15/2021,71175,71175
New York City,2/15/2021,53625,53625
North Carolina,2/15/2021,63375,63375
North Dakota,2/15/2021,4875,4875
Ohio,2/15/2021,73125,73125
Oklahoma,2/15/2021,24375,24375
Oregon,2/15/2021,26325,26325
Palau,2/15/2021,0,0
Pennsylvania,2/15/2021,71175,71175
Philadelphia,2/15/2021,10725,10725
Puerto Rico,2/15/2021,22425,22425
Rhode Island,2/15/2021,6825,6825
South Carolina,2/15/2021,31200,31200
South Dakota,2/15/2021,5850,5850
Tennessee,2/15/2021,41925,41925
Texas,2/15/2021,165750,165750
U.S. Virgin Islands,2/15/2021,975,975
Utah,2/15/2021,17550,17550
Vermont,2/15/2021,4875,4875
Virginia,2/15/2021,52650,52650
Washington,2/15/2021,46800,46800
West Virginia,2/15/2021,11700,11700
Wisconsin,2/15/2021,37050,37050
Wyoming,2/15/2021,3900,3900
Alabama,2/8/2021,30225,30225
Alaska,2/8/2021,0,0
American Samoa,2/8/2021,0,0
Arizona,2/8/2021,42900,42900
Arkansas,2/8/2021,18525,18525
California,2/8/2021,241800,241800
Chicago,2/8/2021,17550,17550
Colorado,2/8/2021,35100,35100
Connecticut,2/8/2021,23400,23400
Delaware,2/8/2021,6825,6825
District of Columbia,2/8/2021,4875,4875
Federal Entities,2/8/2021,105300,105300
Florida,2/8/2021,132600,132600
Georgia,2/8/2021,63375,63375
Guam,2/8/2021,0,0
Hawaii,2/8/2021,9750,9750
Idaho,2/8/2021,10725,10725
Illinois,2/8/2021,63375,63375
Indiana,2/8/2021,40950,40950
Iowa,2/8/2021,19500,19500
Kansas,2/8/2021,18525,18525
Kentucky,2/8/2021,28275,28275
Louisiana,2/8/2021,29250,29250
Maine,2/8/2021,8775,8775
Mariana Islands,2/8/2021,0,0
Marshall Islands,2/8/2021,0,0
Maryland,2/8/2021,38025,38025
Massachusetts,2/8/2021,43875,43875
Michigan,2/8/2021,62400,62400
Micronesia,2/8/2021,0,0
Minnesota,2/8/2021,34125,34125
Mississippi,2/8/2021,18525,18525
Missouri,2/8/2021,38025,38025
Montana,2/8/2021,6825,6825
Nebraska,2/8/2021,11700,11700
Nevada,2/8/2021,18525,18525
New Hampshire,2/8/2021,8775,8775
New Jersey,2/8/2021,55575,55575
New Mexico,2/8/2021,13650,13650
New York,2/8/2021,71175,71175
New York City,2/8/2021,53625,53625
North Carolina,2/8/2021,63375,63375
North Dakota,2/8/2021,4875,4875
Ohio,2/8/2021,73125,73125
Oklahoma,2/8/2021,24375,24375
Oregon,2/8/2021,26325,26325
Palau,2/8/2021,0,0
Pennsylvania,2/8/2021,71175,71175
Philadelphia,2/8/2021,10725,10725
Puerto Rico,2/8/2021,22425,22425
Rhode Island,2/8/2021,6825,6825
South Carolina,2/8/2021,31200,31200
South Dakota,2/8/2021,5850,5850
Tennessee,2/8/2021,41925,41925
Texas,2/8/2021,165750,165750
U.S. Virgin Islands,2/8/2021,975,975
Utah,2/8/2021,17550,17550
Vermont,2/8/2021,4875,4875
Virginia,2/8/2021,52650,52650
Washington,2/8/2021,46800,46800
West Virginia,2/8/2021,11700,11700
Wisconsin,2/8/2021,37050,37050
Wyoming,2/8/2021,3900,3900
Alabama,2/1/2021,30225,30225
Alaska,2/1/2021,27300,27300
American Samoa,2/1/2021,7800,0
Arizona,2/1/2021,42900,42900
Arkansas,2/1/2021,18525,18525
California,2/1/2021,240825,240825
Chicago,2/1/2021,17550,17550
Colorado,2/1/2021,34125,34125
Connecticut,2/1/2021,23400,23400
Delaware,2/1/2021,6825,6825
District of Columbia,2/1/2021,4875,4875
Federal Entities,2/1/2021,119925,104325
Florida,2/1/2021,131625,131625
Georgia,2/1/2021,62400,62400
Guam,2/1/2021,7800,0
Hawaii,2/1/2021,9750,9750
Idaho,2/1/2021,10725,10725
Illinois,2/1/2021,62400,62400
Indiana,2/1/2021,40950,40950
Iowa,2/1/2021,19500,19500
Kansas,2/1/2021,17550,17550
Kentucky,2/1/2021,28275,28275
Louisiana,2/1/2021,29250,29250
Maine,2/1/2021,8775,8775
Mariana Islands,2/1/2021,7800,0
Marshall Islands,2/1/2021,0,0
Maryland,2/1/2021,38025,38025
Massachusetts,2/1/2021,43875,43875
Michigan,2/1/2021,62400,62400
Micronesia,2/1/2021,0,0
Minnesota,2/1/2021,34125,34125
Mississippi,2/1/2021,18525,18525
Missouri,2/1/2021,38025,38025
Montana,2/1/2021,6825,6825
Nebraska,2/1/2021,11700,11700
Nevada,2/1/2021,18525,18525
New Hampshire,2/1/2021,8775,8775
New Jersey,2/1/2021,55575,55575
New Mexico,2/1/2021,13650,13650
New York,2/1/2021,70200,70200
New York City,2/1/2021,53625,53625
North Carolina,2/1/2021,63375,63375
North Dakota,2/1/2021,4875,4875
Ohio,2/1/2021,72150,72150
Oklahoma,2/1/2021,24375,24375
Oregon,2/1/2021,26325,26325
Palau,2/1/2021,0,0
Pennsylvania,2/1/2021,71175,71175
Philadelphia,2/1/2021,10725,10725
Puerto Rico,2/1/2021,22425,22425
Rhode Island,2/1/2021,6825,6825
South Carolina,2/1/2021,31200,31200
South Dakota,2/1/2021,5850,5850
Tennessee,2/1/2021,41925,41925
Texas,2/1/2021,164775,164775
U.S. Virgin Islands,2/1/2021,975,975
Utah,2/1/2021,17550,17550
Vermont,2/1/2021,4875,4875
Virginia,2/1/2021,52650,52650
Washington,2/1/2021,45825,45825
West Virginia,2/1/2021,11700,11700
Wisconsin,2/1/2021,36075,36075
Wyoming,2/1/2021,3900,3900
Alabama,1/25/2021,30225,30225
Alaska,1/25/2021,0,0
American Samoa,1/25/2021,0,0
Arizona,1/25/2021,42900,42900
Arkansas,1/25/2021,18525,18525
California,1/25/2021,241800,241800
Chicago,1/25/2021,17550,17550
Colorado,1/25/2021,35100,35100
Connecticut,1/25/2021,23400,23400
Delaware,1/25/2021,6825,6825
District of Columbia,1/25/2021,4875,4875
Federal Entities,1/25/2021,105300,105300
Florida,1/25/2021,132600,132600
Georgia,1/25/2021,63375,63375
Guam,1/25/2021,0,0
Hawaii,1/25/2021,9750,9750
Idaho,1/25/2021,10725,10725
Illinois,1/25/2021,63375,63375
Indiana,1/25/2021,40950,40950
Iowa,1/25/2021,19500,19500
Kansas,1/25/2021,18525,18525
Kentucky,1/25/2021,28275,28275
Louisiana,1/25/2021,29250,29250
Maine,1/25/2021,8775,8775
Mariana Islands,1/25/2021,0,0
Marshall Islands,1/25/2021,0,0
Maryland,1/25/2021,38025,38025
Massachusetts,1/25/2021,43875,43875
Michigan,1/25/2021,62400,62400
Micronesia,1/25/2021,0,0
Minnesota,1/25/2021,34125,34125
Mississippi,1/25/2021,18525,18525
Missouri,1/25/2021,38025,38025
Montana,1/25/2021,6825,6825
Nebraska,1/25/2021,11700,11700
Nevada,1/25/2021,18525,18525
New Hampshire,1/25/2021,8775,8775
New Jersey,1/25/2021,55575,55575
New Mexico,1/25/2021,13650,13650
New York,1/25/2021,71175,71175
New York City,1/25/2021,53625,53625
North Carolina,1/25/2021,63375,63375
North Dakota,1/25/2021,4875,4875
Ohio,1/25/2021,73125,73125
Oklahoma,1/25/2021,24375,24375
Oregon,1/25/2021,26325,26325
Palau,1/25/2021,0,0
Pennsylvania,1/25/2021,71175,71175
Philadelphia,1/25/2021,10725,10725
Puerto Rico,1/25/2021,22425,22425
Rhode Island,1/25/2021,6825,6825
South Carolina,1/25/2021,31200,31200
South Dakota,1/25/2021,5850,5850
Tennessee,1/25/2021,41925,41925
Texas,1/25/2021,165750,165750
U.S. Virgin Islands,1/25/2021,975,975
Utah,1/25/2021,17550,17550
Vermont,1/25/2021,4875,4875
Virginia,1/25/2021,52650,52650
Washington,1/25/2021,46800,46800
West Virginia,1/25/2021,11700,11700
Wisconsin,1/25/2021,37050,37050
Wyoming,1/25/2021,3900,3900
Alabama,1/18/2021,30225,30225
Alaska,1/18/2021,0,0
American Samoa,1/18/2021,0,0
Arizona,1/18/2021,42900,42900
Arkansas,1/18/2021,18525,18525
California,1/18/2021,241800,241800
Chicago,1/18/2021,17550,17550
Colorado,1/18/2021,35100,35100
Connecticut,1/18/2021,23400,23400
Delaware,1/18/2021,6825,6825
District of Columbia,1/18/2021,4875,4875
Federal Entities,1/18/2021,105300,105300
Florida,1/18/2021,132600,132600
Georgia,1/18/2021,63375,63375
Guam,1/18/2021,0,0
Hawaii,1/18/2021,9750,9750
Idaho,1/18/2021,10725,10725
Illinois,1/18/2021,63375,63375
Indiana,1/18/2021,40950,40950
Iowa,1/18/2021,19500,19500
Kansas,1/18/2021,18525,18525
Kentucky,1/18/2021,28275,28275
Louisiana,1/18/2021,29250,29250
Maine,1/18/2021,8775,8775
Mariana Islands,1/18/2021,0,0
Marshall Islands,1/18/2021,0,0
Maryland,1/18/2021,38025,38025
Massachusetts,1/18/2021,43875,43875
Michigan,1/18/2021,62400,62400
Micronesia,1/18/2021,0,0
Minnesota,1/18/2021,34125,34125
Mississippi,1/18/2021,18525,18525
Missouri,1/18/2021,38025,38025
Montana,1/18/2021,6825,6825
Nebraska,1/18/2021,11700,11700
Nevada,1/18/2021,18525,18525
New Hampshire,1/18/2021,8775,8775
New Jersey,1/18/2021,55575,55575
New Mexico,1/18/2021,13650,13650
New York,1/18/2021,71175,71175
New York City,1/18/2021,53625,53625
North Carolina,1/18/2021,63375,63375
North Dakota,1/18/2021,4875,4875
Ohio,1/18/2021,73125,73125
Oklahoma,1/18/2021,24375,24375
Oregon,1/18/2021,26325,26325
Palau,1/18/2021,0,0
Pennsylvania,1/18/2021,71175,71175
Philadelphia,1/18/2021,10725,10725
Puerto Rico,1/18/2021,22425,22425
Rhode Island,1/18/2021,6825,6825
South Carolina,1/18/2021,31200,31200
South Dakota,1/18/2021,5850,5850
Tennessee,1/18/2021,41925,41925
Texas,1/18/2021,165750,165750
U.S. Virgin Islands,1/18/2021,975,975
Utah,1/18/2021,17550,17550
Vermont,1/18/2021,4875,4875
Virginia,1/18/2021,52650,52650
Washington,1/18/2021,46800,46800
West Virginia,1/18/2021,11700,11700
Wisconsin,1/18/2021,37050,37050
Wyoming,1/18/2021,3900,3900
Alabama,1/11/2021,29250,29250
Alaska,1/11/2021,0,0
American Samoa,1/11/2021,0,0
Arizona,1/11/2021,41925,41925
Arkansas,1/11/2021,18525,18525
California,1/11/2021,233025,233025
Chicago,1/11/2021,16575,16575
Colorado,1/11/2021,33150,33150
Connecticut,1/11/2021,22425,22425
Delaware,1/11/2021,5850,5850
District of Columbia,1/11/2021,4875,4875
Federal Entities,1/11/2021,102375,102375
Florida,1/11/2021,127725,127725
Georgia,1/11/2021,60450,60450
Guam,1/11/2021,0,0
Hawaii,1/11/2021,8775,8775
Idaho,1/11/2021,9750,9750
Illinois,1/11/2021,60450,60450
Indiana,1/11/2021,39975,39975
Iowa,1/11/2021,19500,19500
Kansas,1/11/2021,17550,17550
Kentucky,1/11/2021,27300,27300
Louisiana,1/11/2021,28275,28275
Maine,1/11/2021,8775,8775
Mariana Islands,1/11/2021,0,0
Marshall Islands,1/11/2021,0,0
Maryland,1/11/2021,36075,36075
Massachusetts,1/11/2021,42900,42900
Michigan,1/11/2021,60450,60450
Micronesia,1/11/2021,0,0
Minnesota,1/11/2021,33150,33150
Mississippi,1/11/2021,17550,17550
Missouri,1/11/2021,37050,37050
Montana,1/11/2021,6825,6825
Nebraska,1/11/2021,11700,11700
Nevada,1/11/2021,17550,17550
New Hampshire,1/11/2021,8775,8775
New Jersey,1/11/2021,53625,53625
New Mexico,1/11/2021,12675,12675
New York,1/11/2021,68250,68250
New York City,1/11/2021,51675,51675
North Carolina,1/11/2021,61425,61425
North Dakota,1/11/2021,4875,4875
Ohio,1/11/2021,70200,70200
Oklahoma,1/11/2021,23400,23400
Oregon,1/11/2021,25350,25350
Palau,1/11/2021,0,0
Pennsylvania,1/11/2021,69225,69225
Philadelphia,1/11/2021,9750,9750
Puerto Rico,1/11/2021,21450,21450
Rhode Island,1/11/2021,6825,6825
South Carolina,1/11/2021,30225,30225
South Dakota,1/11/2021,5850,5850
Tennessee,1/11/2021,39975,39975
Texas,1/11/2021,159900,159900
U.S. Virgin Islands,1/11/2021,975,975
Utah,1/11/2021,16575,16575
Vermont,1/11/2021,4875,4875
Virginia,1/11/2021,50700,50700
Washington,1/11/2021,57525,57525
West Virginia,1/11/2021,11700,11700
Wisconsin,1/11/2021,35100,35100
Wyoming,1/11/2021,3900,3900
Alabama,1/4/2021,29250,29250
Alaska,1/4/2021,27300,27300
American Samoa,1/4/2021,7800,0
Arizona,1/4/2021,41925,41925
Arkansas,1/4/2021,18525,18525
California,1/4/2021,232050,232050
Chicago,1/4/2021,16575,16575
Colorado,1/4/2021,33150,33150
Connecticut,1/4/2021,22425,22425
Delaware,1/4/2021,5850,5850
District of Columbia,1/4/2021,4875,4875
Federal Entities,1/4/2021,117000,101400
Florida,1/4/2021,126750,126750
Georgia,1/4/2021,60450,60450
Guam,1/4/2021,7800,0
Hawaii,1/4/2021,8775,8775
Idaho,1/4/2021,9750,9750
Illinois,1/4/2021,60450,60450
Indiana,1/4/2021,39000,39000
Iowa,1/4/2021,18525,18525
Kansas,1/4/2021,17550,17550
Kentucky,1/4/2021,27300,27300
Louisiana,1/4/2021,28275,28275
Maine,1/4/2021,8775,8775
Mariana Islands,1/4/2021,7800,0
Marshall Islands,1/4/2021,0,0
Maryland,1/4/2021,36075,36075
Massachusetts,1/4/2021,42900,42900
Michigan,1/4/2021,60450,60450
Micronesia,1/4/2021,0,0
Minnesota,1/4/2021,33150,33150
Mississippi,1/4/2021,17550,17550
Missouri,1/4/2021,37050,37050
Montana,1/4/2021,6825,6825
Nebraska,1/4/2021,11700,11700
Nevada,1/4/2021,17550,17550
New Hampshire,1/4/2021,8775,8775
New Jersey,1/4/2021,53625,53625
New Mexico,1/4/2021,12675,12675
New York,1/4/2021,68250,68250
New York City,1/4/2021,51675,51675
North Carolina,1/4/2021,61425,61425
North Dakota,1/4/2021,4875,4875
Ohio,1/4/2021,70200,70200
Oklahoma,1/4/2021,23400,23400
Oregon,1/4/2021,25350,25350
Palau,1/4/2021,0,0
Pennsylvania,1/4/2021,69225,69225
Philadelphia,1/4/2021,9750,9750
Puerto Rico,1/4/2021,21450,21450
Rhode Island,1/4/2021,6825,6825
South Carolina,1/4/2021,30225,30225
South Dakota,1/4/2021,5850,5850
Tennessee,1/4/2021,39975,39975
Texas,1/4/2021,158925,158925
U.S. Virgin Islands,1/4/2021,975,975
Utah,1/4/2021,16575,16575
Vermont,1/4/2021,3900,3900
Virginia,1/4/2021,50700,50700
Washington,1/4/2021,44850,44850
West Virginia,1/4/2021,11700,11700
Wisconsin,1/4/2021,35100,35100
Wyoming,1/4/2021,3900,3900
Alabama,12/28/2020,38025,38025
Alaska,12/28/2020,0,0
American Samoa,12/28/2020,0,0
Arizona,12/28/2020,53625,53625
Arkansas,12/28/2020,23400,23400
California,12/28/2020,297375,297375
Chicago,12/28/2020,21450,21450
Colorado,12/28/2020,42900,42900
Connecticut,12/28/2020,28275,28275
Delaware,12/28/2020,7800,7800
District of Columbia,12/28/2020,5850,5850
Federal Entities,12/28/2020,128700,128700
Florida,12/28/2020,162825,162825
Georgia,12/28/2020,77025,77025
Guam,12/28/2020,0,0
Hawaii,12/28/2020,11700,11700
Idaho,12/28/2020,12675,12675
Illinois,12/28/2020,78000,78000
Indiana,12/28/2020,50700,50700
Iowa,12/28/2020,24375,24375
Kansas,12/28/2020,22425,22425
Kentucky,12/28/2020,34125,34125
Louisiana,12/28/2020,36075,36075
Maine,12/28/2020,10725,10725
Mariana Islands,12/28/2020,0,0
Marshall Islands,12/28/2020,0,0
Maryland,12/28/2020,46800,46800
Massachusetts,12/28/2020,54600,54600
Michigan,12/28/2020,77025,77025
Micronesia,12/28/2020,0,0
Minnesota,12/28/2020,42900,42900
Mississippi,12/28/2020,22425,22425
Missouri,12/28/2020,46800,46800
Montana,12/28/2020,8775,8775
Nebraska,12/28/2020,14625,14625
Nevada,12/28/2020,22425,22425
New Hampshire,12/28/2020,10725,10725
New Jersey,12/28/2020,68250,68250
New Mexico,12/28/2020,16575,16575
New York,12/28/2020,87750,87750
New York City,12/28/2020,66300,66300
North Carolina,12/28/2020,78000,78000
North Dakota,12/28/2020,5850,5850
Ohio,12/28/2020,89700,89700
Oklahoma,12/28/2020,29250,29250
Oregon,12/28/2020,32175,32175
Palau,12/28/2020,0,0
Pennsylvania,12/28/2020,88725,88725
Philadelphia,12/28/2020,12675,12675
Puerto Rico,12/28/2020,27300,27300
Rhode Island,12/28/2020,8775,8775
South Carolina,12/28/2020,39000,39000
South Dakota,12/28/2020,6825,6825
Tennessee,12/28/2020,51675,51675
Texas,12/28/2020,203775,203775
U.S. Virgin Islands,12/28/2020,975,975
Utah,12/28/2020,21450,21450
Vermont,12/28/2020,5850,5850
Virginia,12/28/2020,65325,65325
Washington,12/28/2020,57525,57525
West Virginia,12/28/2020,14625,14625
Wisconsin,12/28/2020,44850,44850
Wyoming,12/28/2020,4875,4875
Alabama,12/21/2020,29250,29250
Alaska,12/21/2020,0,0
American Samoa,12/21/2020,0,0
Arizona,12/21/2020,41925,41925
Arkansas,12/21/2020,18525,18525
California,12/21/2020,233025,233025
Chicago,12/21/2020,16575,16575
Colorado,12/21/2020,33150,33150
Connecticut,12/21/2020,22425,22425
Delaware,12/21/2020,5850,5850
District of Columbia,12/21/2020,4875,4875
Federal Entities,12/21/2020,102375,102375
Florida,12/21/2020,127725,127725
Georgia,12/21/2020,60450,60450
Guam,12/21/2020,0,0
Hawaii,12/21/2020,8775,8775
Idaho,12/21/2020,9750,9750
Illinois,12/21/2020,60450,60450
Indiana,12/21/2020,39975,39975
Iowa,12/21/2020,19500,19500
Kansas,12/21/2020,17550,17550
Kentucky,12/21/2020,27300,27300
Louisiana,12/21/2020,28275,28275
Maine,12/21/2020,8775,8775
Mariana Islands,12/21/2020,0,0
Marshall Islands,12/21/2020,0,0
Maryland,12/21/2020,36075,36075
Massachusetts,12/21/2020,42900,42900
Michigan,12/21/2020,60450,60450
Micronesia,12/21/2020,0,0
Minnesota,12/21/2020,33150,33150
Mississippi,12/21/2020,17550,17550
Missouri,12/21/2020,37050,37050
Montana,12/21/2020,6825,6825
Nebraska,12/21/2020,11700,11700
Nevada,12/21/2020,17550,17550
New Hampshire,12/21/2020,8775,8775
New Jersey,12/21/2020,53625,53625
New Mexico,12/21/2020,12675,12675
New York,12/21/2020,68250,68250
New York City,12/21/2020,51675,51675
North Carolina,12/21/2020,61425,61425
North Dakota,12/21/2020,4875,4875
Ohio,12/21/2020,70200,70200
Oklahoma,12/21/2020,23400,23400
Oregon,12/21/2020,25350,25350
Palau,12/21/2020,0,0
Pennsylvania,12/21/2020,69225,69225
Philadelphia,12/21/2020,9750,9750
Puerto Rico,12/21/2020,21450,21450
Rhode Island,12/21/2020,6825,6825
South Carolina,12/21/2020,30225,30225
South Dakota,12/21/2020,5850,5850
Tennessee,12/21/2020,39975,39975
Texas,12/21/2020,159900,159900
U.S. Virgin Islands,12/21/2020,975,975
Utah,12/21/2020,16575,16575
Vermont,12/21/2020,4875,4875
Virginia,12/21/2020,50700,50700
Washington,12/21/2020,44850,44850
West Virginia,12/21/2020,11700,11700
Wisconsin,12/21/2020,35100,35100
Wyoming,12/21/2020,3900,3900
Alabama,12/14/2020,40950,40950
Alaska,12/14/2020,35100,35100
American Samoa,12/14/2020,5850,0
Arizona,12/14/2020,58500,58500
Arkansas,12/14/2020,25350,25350
California,12/14/2020,327600,327600
Chicago,12/14/2020,23400,23400
Colorado,12/14/2020,46800,46800
Connecticut,12/14/2020,31200,31200
Delaware,12/14/2020,8775,8775
District of Columbia,12/14/2020,6825,6825
Federal Entities,12/14/2020,156000,142350
Florida,12/14/2020,179400,179400
Georgia,12/14/2020,84825,84825
Guam,12/14/2020,11700,0
Hawaii,12/14/2020,12675,12675
Idaho,12/14/2020,13650,13650
Illinois,12/14/2020,85800,85800
Indiana,12/14/2020,55575,55575
Iowa,12/14/2020,26325,26325
Kansas,12/14/2020,24375,24375
Kentucky,12/14/2020,38025,38025
Louisiana,12/14/2020,39000,39000
Maine,12/14/2020,12675,12675
Mariana Islands,12/14/2020,5850,0
Marshall Islands,12/14/2020,0,0
Maryland,12/14/2020,50700,50700
Massachusetts,12/14/2020,59475,59475
Michigan,12/14/2020,84825,84825
Micronesia,12/14/2020,0,0
Minnesota,12/14/2020,46800,46800
Mississippi,12/14/2020,25350,25350
Missouri,12/14/2020,51675,51675
Montana,12/14/2020,9750,9750
Nebraska,12/14/2020,16575,16575
Nevada,12/14/2020,25350,25350
New Hampshire,12/14/2020,12675,12675
New Jersey,12/14/2020,76050,76050
New Mexico,12/14/2020,17550,17550
New York,12/14/2020,96525,96525
New York City,12/14/2020,73125,73125
North Carolina,12/14/2020,85800,85800
North Dakota,12/14/2020,6825,6825
Ohio,12/14/2020,98475,98475
Oklahoma,12/14/2020,33150,33150
Oregon,12/14/2020,35100,35100
Palau,12/14/2020,0,0
Pennsylvania,12/14/2020,97500,97500
Philadelphia,12/14/2020,13650,13650
Puerto Rico,12/14/2020,30225,30225
Rhode Island,12/14/2020,9750,9750
South Carolina,12/14/2020,42900,42900
South Dakota,12/14/2020,7800,7800
Tennessee,12/14/2020,56550,56550
Texas,12/14/2020,224250,224250
U.S. Virgin Islands,12/14/2020,975,975
Utah,12/14/2020,23400,23400
Vermont,12/14/2020,5850,5850
Virginia,12/14/2020,72150,72150
Washington,12/14/2020,62400,62400
West Virginia,12/14/2020,16575,16575
Wisconsin,12/14/2020,49725,49725
Wyoming,12/14/2020,4875,4875
