FIPS,STATE_FIPS,population,covid_cases,covid_deaths
0,1,0,0,0
1001,1,55869,36764,846
1003,1,223234,68071,894
1005,1,24686,22873,141
1007,1,22394,12587,97
1009,1,57826,17144,73
1011,1,10101,22085,614
1013,1,19448,42819,1864
1015,1,113605,30684,398
1017,1,33254,50440,2687
1019,1,26196,6802,378
1021,1,44428,19072,215
1023,1,12589,14947,757
1025,1,23622,18671,353
1027,1,13235,5107,180
1029,1,14910,3092,98
1031,1,52342,29142,155
1033,1,55241,28994,437
1035,1,12067,11235,280
1037,1,10663,4926,112
1039,1,37049,21802,490
1041,1,13772,9427,217
1043,1,83768,31114,220
1045,1,49172,20433,129
1047,1,37196,50394,643
1049,1,71513,48328,432
1051,1,81209,57542,1159
1053,1,36633,21508,500
1055,1,102268,52269,1255
1057,1,16302,4579,92
1059,1,31362,59554,856
1061,1,26271,5702,9
1063,1,8111,12845,514
1065,1,14651,21070,1173
1067,1,17205,9750,237
1069,1,105882,36364,550
1071,1,51626,20152,312
1073,1,658573,353867,11305
1075,1,13805,5214,33
1077,1,92729,30558,412
1079,1,32924,7979,0
1081,1,164542,96898,3434
1083,1,98915,30534,133
1085,1,9726,30134,1361
1087,1,18068,12771,557
1089,1,372909,110079,776
1091,1,18863,21368,771
1093,1,29709,19126,1170
1095,1,96774,111890,1035
1097,1,413210,305294,11795
1099,1,20733,12961,219
1101,1,226486,252385,6208
1103,1,119679,65644,292
1105,1,8923,10899,60
1107,1,19930,15706,470
1109,1,33114,28414,231
1111,1,22722,16842,792
1113,1,57961,35450,7
1115,1,89512,29085,195
1117,1,217702,95690,2079
1119,1,12427,21584,832
1121,1,79978,23537,495
1123,1,40367,49143,5814
1125,1,209355,137143,2537
1127,1,63521,57809,1346
1129,1,16326,9908,572
1131,1,10373,19961,635
1133,1,23629,14858,204
0,2,0,726,45
2013,2,3337,8,0
2016,2,5634,22,0
2020,2,288000,43568,611
2050,2,18386,541,0
2060,2,836,0,0
2068,2,2097,11,0
2070,2,4916,0,0
2090,2,96849,15373,237
2100,2,2530,105,0
2105,2,2148,14,0
2110,2,31974,4252,30
2122,2,58708,10396,200
2130,2,13901,2300,0
2150,2,12998,224,0
2158,2,8314,43,0
2164,2,1592,59,0
2170,2,108317,7080,121
2180,2,10004,501,0
2185,2,9832,229,0
2188,2,7621,331,0
2195,2,3266,455,115
2198,2,6203,221,0
2220,2,8493,635,0
2230,2,1183,0,0
2240,2,6893,372,0
2261,2,9202,309,0
2270,2,0,0,0
2275,2,2502,145,0
2282,2,579,0,0
2290,2,5230,498,2
0,4,0,27,80
4001,4,71887,166955,5445
4003,4,125922,40933,898
4005,4,143476,147871,8150
4007,4,54018,18168,456
4009,4,38837,9220,138
4011,4,9498,1441,42
4012,4,21108,19608,260
4013,4,4485414,3370823,64912
4015,4,212181,84479,5946
4017,4,110924,257697,8551
4019,4,1047279,556355,22510
4021,4,462789,248808,5087
4023,4,46498,97507,1238
4025,4,235099,55891,1141
4027,4,213787,359188,5976
0,5,0,51442,11
5001,5,17486,3110,11
5003,5,19657,5511,96
5005,5,41932,1781,0
5007,5,279141,156024,970
5009,5,37432,2396,36
5011,5,10763,3983,144
5013,5,5189,126,0
5015,5,28380,9979,231
5017,5,10118,8825,129
5019,5,22320,5882,0
5021,5,14551,3240,120
5023,5,24919,11010,494
5025,5,7956,2504,5
5027,5,23457,5244,261
5029,5,20846,4131,213
5031,5,110332,34698,298
5033,5,63257,11375,65
5035,5,47955,52895,1008
5037,5,16419,6657,42
5039,5,7009,709,0
5041,5,11361,4146,30
5043,5,18219,4596,138
5045,5,126007,34087,316
5047,5,17715,1557,27
5049,5,12477,918,0
5051,5,99386,23602,155
5053,5,18265,3522,0
5055,5,45325,8351,5
5057,5,21532,4434,119
5059,5,33771,35516,51
5061,5,13202,6698,37
5063,5,37825,5125,0
5065,5,13629,1770,57
5067,5,16719,1702,7
5069,5,66824,59471,2444
5071,5,26578,16685,0
5073,5,6624,1627,116
5075,5,16406,9204,672
5077,5,8857,35234,202
5079,5,13024,97364,847
5081,5,12259,2502,13
5083,5,21466,3343,0
5085,5,73309,11166,47
5087,5,16576,9682,18
5089,5,16694,520,0
5091,5,43257,12308,146
5093,5,40651,15290,221
5095,5,6701,1189,0
5097,5,8986,421,0
5099,5,8252,5414,163
5101,5,7753,915,0
5103,5,23382,1988,12
5105,5,10455,1997,0
5107,5,17782,7546,244
5109,5,10718,1163,2
5111,5,23528,5015,229
5113,5,19964,4746,0
5115,5,64072,32504,197
5117,5,8062,1472,0
5119,5,391911,164221,4307
5121,5,17958,4443,57
5123,5,24994,62191,158
5125,5,122437,23851,187
5127,5,10281,744,0
5129,5,7881,1079,0
5131,5,127827,33526,298
5133,5,17007,39091,413
5135,5,17442,4445,286
5137,5,12506,1568,22
5139,5,38682,18724,853
5141,5,16545,3696,231
5143,5,239187,198531,1633
5145,5,78753,8137,125
5147,5,6320,545,0
5149,5,21341,35448,331
0,6,0,32,0
6000,6,0,3024,0
6001,6,1671329,477406,11267
6003,6,1129,233,0
6005,6,39752,2277,0
6007,6,219186,17244,152
6009,6,45905,3468,8
6011,6,21547,4955,15
6013,6,1153526,261905,5665
6015,6,27812,3844,0
6017,6,192843,17192,9
6019,6,999101,389970,5000
6021,6,28393,8172,136
6023,6,135558,12209,262
6025,6,181215,381990,6276
6027,6,18039,2810,95
6029,6,900202,398971,5226
6031,6,152940,157874,1550
6033,6,64386,5116,26
6035,6,30573,1311,1
6037,6,10039107,7806288,267212
6039,6,157327,42150,548
6041,6,258826,124478,2285
6043,6,17203,2016,78
6045,6,86749,6793,50
6047,6,277680,87599,944
6049,6,8841,0,0
6051,6,14444,4797,120
6053,6,434061,128059,1183
6055,6,137744,25455,393
6057,6,99755,9824,117
6059,6,3175692,1174289,23512
6061,6,398329,55858,1074
6063,6,18807,862,0
6065,6,2470546,1350019,37255
6067,6,1552058,294853,6935
6069,6,62808,18861,252
6071,6,2180085,972383,21663
6073,6,3338330,1140374,30640
6075,6,881549,320725,4435
6077,6,762148,294336,5056
6079,6,283111,53984,232
6081,6,766573,273798,9022
6083,6,446499,238582,1920
6085,6,1927852,434418,15899
6087,6,273213,35026,267
6089,6,180080,9882,441
6091,6,3005,69,0
6093,6,43539,2136,0
6095,6,447643,107123,2044
6097,6,494336,93785,773
6099,6,550660,209954,3609
6101,6,96971,16961,302
6103,6,65084,4670,75
6105,6,12285,137,0
6107,6,466195,314036,9883
6109,6,54478,2727,4
6111,6,846006,222221,3908
6113,6,220500,46153,2454
6115,6,78668,8960,155
0,8,0,9516,134
8001,8,517421,352903,12768
8003,8,16233,11238,358
8005,8,656590,460685,28844
8007,8,14029,1126,0
8009,8,3581,1418,0
8011,8,5577,251,0
8013,8,326196,114744,6335
8014,8,70465,26908,2433
8015,8,20356,9888,1801
8017,8,1831,431,0
8019,8,9700,1962,99
8021,8,8205,764,0
8023,8,3887,1230,0
8025,8,6061,5248,131
8027,8,5068,349,0
8029,8,31162,7053,112
8031,8,727211,609637,31691
8033,8,2055,12,0
8035,8,351154,89261,4442
8037,8,55127,74508,912
8039,8,26729,5391,194
8041,8,720403,213075,10332
8043,8,47839,3636,0
8045,8,60061,24382,269
8047,8,6243,539,0
8049,8,15734,1701,30
8051,8,17462,20553,616
8053,8,820,344,0
8055,8,6897,365,28
8057,8,1392,174,0
8059,8,582881,245761,16759
8061,8,1406,0,0
8063,8,7097,3060,277
8065,8,8127,3824,0
8067,8,56221,10407,93
8069,8,356899,69808,2699
8071,8,14506,681,0
8073,8,5701,396,0
8075,8,22409,53034,376
8077,8,154210,9352,6
8079,8,769,627,0
8081,8,13283,1055,19
8083,8,26183,5386,314
8085,8,42758,18307,1229
8087,8,29068,58506,3715
8089,8,18278,1948,107
8091,8,4952,917,111
8093,8,18845,2412,12
8095,8,4265,1326,0
8097,8,17767,9341,246
8099,8,12172,1840,0
8101,8,168424,32332,2116
8103,8,6324,262,0
8105,8,11267,4493,73
8107,8,25638,7498,574
8109,8,6824,6481,114
8111,8,728,113,0
8113,8,8179,3445,0
8115,8,2248,125,0
8117,8,31011,23994,248
8119,8,25388,4574,236
8121,8,4908,3238,0
8123,8,324492,265644,13292
8125,8,10019,3515,0
0,9,0,35638,148
9001,9,943332,1611036,124914
9003,9,891720,1013728,118433
9005,9,180333,140151,12570
9007,9,162436,113510,15079
9009,9,854757,1141699,92487
9011,9,265206,107440,8180
9013,9,150721,80645,5934
9015,9,116782,44981,1171
0,10,0,5855,16
10001,10,180786,146803,6840
10003,10,558753,412954,17695
10005,10,234225,412002,13496
11001,11,705749,891332,45306
0,12,0,14537,4
12001,12,269043,99269,883
12003,12,29210,7671,383
12005,12,174705,54073,503
12007,12,28201,8618,216
12009,12,601942,141859,2015
12011,12,1952778,1540176,35467
12013,12,14105,8121,382
12015,12,188910,67094,5955
12017,12,149657,29819,1374
12019,12,219252,77132,3115
12021,12,384902,315371,5947
12023,12,71686,38736,287
12027,12,38001,41069,886
12029,12,16826,6654,215
12031,12,957755,535157,5857
12033,12,318316,194991,3633
12035,12,115081,29381,477
12037,12,12125,1517,7
12039,12,45660,36990,427
12041,12,18582,7188,2
12043,12,13811,10795,133
12045,12,13639,3885,0
12047,12,14428,24835,101
12049,12,26937,26511,135
12051,12,42022,63551,1745
12053,12,193920,37642,689
12055,12,106221,29605,1101
12057,12,1471968,792913,11212
12059,12,19617,9976,17
12061,12,159923,53290,1377
12063,12,46414,34200,270
12065,12,14246,5306,330
12067,12,8422,2361,0
12069,12,367118,110559,1995
12071,12,770577,462125,12954
12073,12,293582,103247,714
12075,12,41503,13083,79
12077,12,8354,19771,67
12079,12,18493,16461,317
12081,12,403253,241156,10633
12083,12,365579,76427,1163
12085,12,161000,133451,2081
12086,12,2716940,3462440,80699
12087,12,74228,28761,458
12089,12,88625,23026,162
12091,12,210738,62964,747
12093,12,42168,24066,36
12095,12,1393452,768253,6101
12097,12,375751,198739,2309
12099,12,1496770,1116531,42230
12101,12,553947,155822,2039
12103,12,974996,464069,13580
12105,12,724777,312454,8231
12107,12,74521,34960,537
12109,12,264672,83194,811
12111,12,328297,133916,4300
12113,12,184313,62918,1070
12115,12,433742,146064,8108
12117,12,471826,183450,1856
12119,12,132420,39497,1818
12121,12,44417,36797,1892
12123,12,21569,6657,45
12125,12,15237,5541,115
12127,12,553284,181965,4870
12129,12,33739,8967,109
12131,12,74071,26419,681
12133,12,25473,10351,658
0,13,0,527055,3911
13001,13,18386,21091,1174
13003,13,8165,9292,168
13005,13,11164,16721,305
13007,13,3038,3780,251
13009,13,44890,44043,2485
13011,13,19234,9925,57
13013,13,83240,41495,1817
13015,13,107738,66602,4120
13017,13,16700,12012,76
13019,13,19397,8518,0
13021,13,153159,87508,2920
13023,13,12873,5316,52
13025,13,19109,7907,245
13027,13,15457,12692,948
13029,13,39627,14127,478
13031,13,79608,25815,362
13033,13,22383,14771,538
13035,13,24936,24999,2435
13037,13,6189,14619,531
13039,13,54666,13724,146
13043,13,10803,4113,7
13045,13,119992,72218,3046
13047,13,67580,20664,318
13049,13,13392,6162,127
13051,13,289430,119465,2720
13053,13,10907,22297,14
13055,13,24789,4630,205
13057,13,258773,115242,3449
13059,13,128331,50388,1621
13061,13,2834,4705,219
13063,13,292256,176207,6025
13065,13,6618,7304,189
13067,13,760141,432107,19405
13069,13,43273,45550,1386
13071,13,45600,68367,1557
13073,13,156714,47355,824
13075,13,17270,10988,179
13077,13,148509,55817,1095
13079,13,12404,3673,0
13081,13,22372,25449,895
13083,13,16116,4708,117
13085,13,26108,12683,211
13087,13,26404,22052,545
13089,13,759297,509864,12936
13091,13,20605,7947,168
13093,13,13390,18630,1200
13095,13,87956,205984,15608
13097,13,146343,83620,2761
13099,13,10190,27587,2911
13101,13,4006,11668,0
13103,13,64296,14703,115
13105,13,19194,10000,8
13107,13,22646,9128,199
13109,13,10654,2792,6
13111,13,26188,8153,105
13113,13,114421,34856,1570
13115,13,98498,43374,1480
13117,13,244252,72024,1337
13119,13,23349,13218,113
13121,13,1063937,665496,25238
13123,13,31369,17459,108
13125,13,2971,518,0
13127,13,85292,57670,439
13129,13,57963,30564,1682
13131,13,24633,15602,386
13133,13,18324,9493,723
13135,13,936250,626583,14015
13137,13,45328,56584,2592
13139,13,204441,281817,4746
13141,13,8457,17473,2122
13143,13,29792,6804,351
13145,13,35236,22497,690
13147,13,26205,5822,0
13149,13,11923,4564,251
13151,13,234561,110004,2537
13153,13,157863,58406,2265
13155,13,9416,5150,98
13157,13,72977,29897,681
13159,13,14219,5488,69
13161,13,15115,8214,186
13163,13,15362,9618,167
13165,13,8676,7144,651
13167,13,9643,9328,218
13169,13,28735,7394,14
13171,13,19077,9131,366
13173,13,10423,7831,229
13175,13,47546,18975,113
13177,13,29992,41658,2428
13179,13,61435,13675,73
13181,13,7921,3399,76
13183,13,19559,3148,69
13185,13,117406,87094,877
13187,13,33610,11786,202
13189,13,21312,9707,587
13191,13,14378,3550,66
13193,13,12947,11161,678
13195,13,29880,9006,252
13197,13,8359,6839,202
13199,13,21167,14546,203
13201,13,5718,4906,0
13205,13,21863,44127,3720
13207,13,27578,14262,1177
13209,13,9172,2738,0
13211,13,19276,5505,0
13213,13,40096,16234,123
13215,13,195769,134233,3168
13217,13,111744,53936,1189
13219,13,40280,15061,715
13221,13,15259,8189,594
13223,13,168667,50354,1292
13225,13,27546,10410,623
13227,13,32591,7772,411
13229,13,19465,15237,399
13231,13,18962,7874,263
13233,13,42613,18739,91
13235,13,11137,4703,180
13237,13,22119,12712,947
13239,13,2299,1380,105
13241,13,17137,4379,179
13243,13,6778,20352,2250
13245,13,202518,96865,3678
13247,13,90896,43153,932
13249,13,5257,2325,114
13251,13,13966,6532,396
13253,13,8090,5044,209
13255,13,66703,37282,2327
13257,13,25925,19330,366
13259,13,6621,9737,152
13261,13,29524,53993,4432
13263,13,6195,5664,199
13265,13,1537,160,0
13267,13,25286,8909,5
13269,13,8020,2912,226
13271,13,15860,8267,165
13273,13,8531,23674,2687
13275,13,44451,40718,3011
13277,13,40644,49884,1875
13279,13,26830,16133,456
13281,13,12037,3993,92
13283,13,6901,2184,57
13285,13,69922,84489,2120
13287,13,7985,14125,1358
13289,13,8120,2426,64
13291,13,24511,6589,232
13293,13,26320,32230,3504
13295,13,69761,21560,486
13297,13,94593,33692,1813
13299,13,35734,37220,1460
13301,13,5254,2315,0
13303,13,20374,10987,103
13305,13,29927,9183,13
13307,13,2607,1839,122
13309,13,7855,3002,4
13311,13,30798,12603,294
13313,13,104628,82518,1051
13315,13,8635,11563,1314
13317,13,9777,5841,107
13319,13,8954,7561,597
13321,13,20247,27086,1922
0,15,0,1502,16
15001,15,201513,9281,0
15003,15,974563,67131,1270
15005,15,86,0,0
15007,15,72293,3185,0
15009,15,167417,13733,606
0,16,0,60,2
16001,16,481587,208846,2455
16003,16,4294,708,0
16005,16,87808,7490,60
16007,16,6125,84,0
16009,16,9298,1466,0
16011,16,46811,3635,32
16013,16,23021,61204,595
16015,16,7831,426,0
16017,16,45739,2773,0
16019,16,119062,11638,44
16021,16,12245,309,0
16023,16,2597,0,0
16025,16,1106,120,0
16027,16,229849,97808,931
16029,16,7155,715,0
16031,16,24030,14949,120
16033,16,845,0,0
16035,16,8756,201,0
16037,16,4315,352,0
16039,16,27511,5639,195
16041,16,13876,1408,0
16043,16,13099,807,0
16045,16,18112,3437,0
16047,16,15179,5251,44
16049,16,16667,672,0
16051,16,29871,1907,8
16053,16,24412,19309,344
16055,16,165697,30018,41
16057,16,40108,1702,0
16059,16,8027,210,0
16061,16,3838,0,0
16063,16,5366,3630,0
16065,16,39907,3790,0
16067,16,21039,11994,9
16069,16,40408,9121,1947
16071,16,4531,171,0
16073,16,11823,4036,0
16075,16,23951,7810,193
16077,16,7681,1079,0
16079,16,12882,515,0
16081,16,12142,1947,0
16083,16,86878,51390,2111
16085,16,11392,1084,13
16087,16,10194,6529,44
0,17,0,15870,99
17001,17,65435,9593,89
17003,17,5761,1529,0
17005,17,16426,1433,107
17007,17,53544,43619,1683
17009,17,6578,842,0
17011,17,32628,2620,114
17013,17,4739,153,0
17015,17,14305,1752,218
17017,17,12147,8864,251
17019,17,209689,68619,1029
17021,17,32304,4414,452
17023,17,15441,1801,0
17025,17,13184,316,0
17027,17,37562,19692,1324
17029,17,50621,13053,1158
17031,17,5150233,7720269,365387
17033,17,18667,1542,0
17035,17,10766,1397,17
17037,17,104897,42246,1119
17039,17,15638,766,0
17041,17,19465,4128,7
17043,17,922921,755060,37724
17045,17,17161,620,0
17047,17,6395,218,0
17049,17,34008,1546,112
17051,17,21336,2404,267
17053,17,12961,2362,113
17055,17,38469,2473,0
17057,17,34340,1116,0
17059,17,4828,540,0
17061,17,12969,690,0
17063,17,51054,12450,254
17065,17,8116,386,0
17067,17,17708,1580,57
17069,17,3821,200,0
17071,17,6646,720,0
17073,17,48913,8365,47
17075,17,27114,12791,372
17077,17,56750,27499,1387
17079,17,9610,4601,639
17081,17,37684,10462,1495
17083,17,21773,2934,95
17085,17,21235,3773,55
17087,17,12417,1633,0
17089,17,532403,591100,19275
17091,17,109862,99419,4993
17093,17,128990,77602,1729
17095,17,49699,11107,7
17097,17,696535,819089,31713
17099,17,108669,18139,1217
17101,17,15678,818,0
17103,17,34096,8198,113
17105,17,35648,4024,169
17107,17,28618,1703,0
17109,17,29682,7995,960
17111,17,307774,165870,7736
17113,17,171517,24349,1075
17115,17,104009,20418,1900
17117,17,44926,5314,189
17119,17,262966,79422,5398
17121,17,37205,6008,0
17123,17,11438,758,0
17125,17,13359,2009,0
17127,17,13772,1036,0
17129,17,12196,2170,0
17131,17,15437,1960,0
17133,17,34637,12054,1207
17135,17,28414,5106,140
17137,17,33658,8024,235
17139,17,14501,1522,0
17141,17,50643,22144,307
17143,17,179179,38289,1644
17145,17,20916,4464,30
17147,17,16344,1530,0
17149,17,15561,304,0
17151,17,4177,116,0
17153,17,5335,5526,0
17155,17,5739,113,0
17157,17,31782,26532,476
17159,17,15513,486,0
17161,17,141879,79557,2309
17163,17,259686,146406,9700
17165,17,23491,1447,0
17167,17,194672,39054,2643
17169,17,6768,1011,0
17171,17,4951,58,0
17173,17,21634,1725,91
17175,17,5342,322,0
17177,17,44498,19624,332
17179,17,131803,11068,577
17181,17,16653,14648,1163
17183,17,75758,5689,133
17185,17,11520,1163,0
17187,17,16844,11708,0
17189,17,13887,2062,0
17191,17,16215,1103,76
17193,17,13537,741,0
17195,17,55175,15981,1196
17197,17,690743,568487,27626
17199,17,66597,9620,237
17201,17,282572,220353,6514
17203,17,38459,3071,181
0,18,0,1753,3163
18001,18,35777,2914,108
18003,18,379299,189081,8797
18005,18,83779,49998,3481
18007,18,8748,3251,0
18009,18,11758,2724,168
18011,18,67843,36611,3582
18013,18,15092,3657,113
18015,18,20257,8762,188
18017,18,37689,148131,677
18019,18,118302,55314,3700
18021,18,26225,4929,264
18023,18,32399,20969,158
18025,18,10577,2762,0
18027,18,33351,10861,1519
18029,18,49458,20344,1963
18031,18,26559,25523,3185
18033,18,43475,9156,234
18035,18,114135,37081,3641
18037,18,42736,21374,384
18039,18,206341,196553,3457
18041,18,23102,7762,648
18043,18,78522,34570,3661
18045,18,16346,2484,222
18047,18,22758,13174,909
18049,18,19974,5553,90
18051,18,33659,4783,136
18053,18,65769,24793,2102
18055,18,31922,16421,2347
18057,18,338011,136925,9155
18059,18,78168,37734,2736
18061,18,40515,19714,1818
18063,18,170311,123316,7696
18065,18,47972,18659,1037
18067,18,82544,43271,3535
18069,18,36520,4959,219
18071,18,44231,37806,193
18073,18,33562,8677,160
18075,18,20436,4969,0
18077,18,32308,6084,101
18079,18,27735,14608,632
18081,18,158167,113641,10394
18083,18,36594,4537,0
18085,18,79456,29465,278
18087,18,39614,24159,447
18089,18,485493,404833,19211
18091,18,109888,45954,2076
18093,18,45370,19020,2238
18095,18,129569,62218,6082
18097,18,964582,1021676,57852
18099,18,46258,27247,423
18101,18,10255,1708,0
18103,18,35516,15501,127
18105,18,148431,24645,1784
18107,18,38338,22348,1409
18109,18,70489,29021,2296
18111,18,13984,8258,928
18113,18,47744,30510,2169
18115,18,5875,1480,24
18117,18,19646,12437,2000
18119,18,20799,4195,110
18121,18,16937,2099,0
18123,18,19169,7278,365
18125,18,12389,767,0
18127,18,170389,58387,2580
18129,18,25427,3595,0
18131,18,12353,4666,53
18133,18,37576,14243,717
18135,18,24665,5463,329
18137,18,28324,12889,659
18139,18,16581,5139,266
18141,18,271826,150399,4541
18143,18,23873,12730,511
18145,18,44729,36744,2064
18147,18,20277,3053,89
18149,18,22995,5929,278
18151,18,34594,9652,208
18153,18,20669,3777,70
18155,18,10751,2405,0
18157,18,195732,48317,570
18159,18,15148,3064,117
18161,18,7054,1201,0
18163,18,181451,44150,397
18165,18,15498,1229,0
18167,18,107038,18586,785
